代码,名称,涨跌幅%,现价,转股溢价率,剩余规模,集思录双低,多普勒三低,强赎状态,rank_group,is_star
110070,凌钢转债,,126.975,0.16344534883720918,2.169,143.3195348837209,281.0,,TOP5,True
128101,联创转债,,134.75,0.22879690048939638,2.979,157.62969004893964,551.0,,TOP5,True
123198,金埔转债,,136.723,0.1730211931818182,3.259,154.02511931818182,570.0,,TOP5,True
123187,超达转债,,155.245,0.006801360686623514,2.679,155.92513606866237,624.0,公告不强赎,TOP5,True
123092,天壕转债,,136.345,0.2190271095152605,3.423,158.24771095152605,640.0,,TOP5,True
123246,远信转债,,167.6,0.07112781954887226,2.297,174.71278195488722,641.0,公告不强赎,NEXT5,False
123049,维尔转债,,126.728,0.008709417040358547,6.796,127.59894170403585,652.0,,NEXT5,False
123059,银信转债,,148.148,0.2345666666666666,1.569,171.60466666666665,656.0,,NEXT5,False
113584,家悦转债,,120.388,0.23462158154859947,6.449,143.85015815485994,662.0,,NEXT5,False
113646,永吉转债,,149.129,0.24274166666666663,1.374,173.40316666666666,668.0,,NEXT5,False
